data_id,name,metric,string_encoder,imputer,learning_algorithm,avg_cv_score,fit_time,predict_time
28,optdigits,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.21814625939348953,0.7090435981750488,0.02392582893371582
29,credit-approval,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.918411898574859,0.2400290012359619,0.016172313690185548
31,credit-g,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.768952380952381,0.3354333877563477,0.018946266174316405
32,pendigits,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.09063379754876859,1.063891315460205,0.03361434936523437
37,diabetes,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8282924528301887,0.15732188224792482,0.01162714958190918
44,spambase,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.986021197373067,0.49400854110717773,0.01981635093688965
46,splice,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.1518977412362461,1.5982329845428467,0.05787343978881836
50,tic-tac-toe,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9980539122568972,0.23730072975158692,0.016115617752075196
54,vehicle,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.5145507192416436,0.18794450759887696,0.012060308456420898
151,electricity,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9669775860435059,4.189482975006103,0.1344088077545166
182,satimage,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2685783924684399,0.9477081298828125,0.02498598098754883
188,eucalyptus,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.9328337839249308,0.2704646587371826,0.015686988830566406
38,sick,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9847167065415924,0.7807528972625732,0.040870046615600585
307,vowel,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.4338815091222627,0.24989423751831055,0.015260028839111327
300,isolet,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.45906732773789605,10.62214789390564,0.055303525924682614
